emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1,-1,12,3,6,6,10,2
-4,-5,-13,-6,-1,-21,-9,-2
0,-1,2,-7,-1,50,15,0
0,4,-2,-1,5,-29,-12,-2
-4,-6,-16,2,-6,-14,-8,-3
-1,3,11,4,-2,0,29,1
2,3,-3,-2,0,-13,2,2
2,2,3,2,-5,34,-5,-1
-4,-3,1,-6,-5,-16,22,-1
-1,0,1,7,11,3,-11,0
0,0,2,-4,-1,8,22,2
-4,-4,-12,-4,-1,-2,-17,-8
1,2,5,12,0,-6,-20,3
-5,1,-7,-17,-10,-6,11,-6
-3,-4,7,20,4,-10,3,1
0,1,3,-16,8,15,18,1
-3,-2,-6,5,-2,0,-3,1
0,1,-9,-1,3,6,6,-1
1,2,5,-5,-3,-29,-21,-3
0,0,-3,-6,-9,2,9,4
0,-3,3,4,3,4,-6,-4
-3,-1,5,1,4,11,1,1
-6,3,-6,-4,-4,-1,-3,-3
1,-11,2,4,-3,-11,0,3
-2,1,-5,-2,3,19,-8,0
-1,-1,-3,3,-10,-27,-25,1
0,-1,1,-5,1,18,-24,-5
-3,0,0,4,-2,-10,-8,-2
3,3,1,-6,-1,12,16,3
3,-1,3,10,1,5,20,3
-4,0,4,1,-4,-18,-15,-3
0,-1,-17,-10,0,0,-1,1
-3,-4,1,3,-4,-9,-4,-3
3,-2,-4,4,1,3,-3,0
-3,1,18,11,-2,-4,-6,0
-2,-11,-16,1,-3,-16,7,0
2,2,0,-7,0,26,38,7
-5,-3,-8,-11,-4,-28,-8,-7
-1,-5,-5,-12,-4,-4,-15,0
1,6,3,6,0,12,11,-2
1,2,7,5,7,-1,-13,1
-7,-6,4,0,2,25,3,0
2,2,-8,-3,-3,-33,9,1
-2,1,9,1,-7,-13,-3,-3
0,-1,2,2,5,28,18,2
5,5,5,-1,1,8,-6,2
1,-3,-6,-7,2,-10,9,3
1,4,-1,-5,-5,-4,-1,6
-5,2,17,17,-4,-4,-6,-6
4,6,5,-7,5,7,-24,2
2,-2,2,10,4,25,49,1
3,0,-5,-4,4,-4,13,-4
1,3,-2,-7,-5,-18,-58,-3
-3,-3,4,-2,-2,-1,-1,-3
-2,-1,4,-4,-3,2,-15,-4
2,4,8,5,-2,5,29,5
1,-3,-5,1,11,3,-16,1
-3,-5,-7,0,-7,-3,16,-6
1,-2,1,-5,3,11,2,3
2,1,1,5,-9,-28,-54,-1
-1,-6,2,0,0,2,22,-4
-5,-7,-6,-6,1,0,26,1
2,-1,0,2,2,16,-22,2
-3,4,5,3,-3,-10,-1,-3
-4,-3,-2,-4,1,-13,-5,0
5,8,3,10,1,-10,-20,2
-1,-3,-4,-4,-6,9,11,-1
-6,-5,-6,-5,-1,40,18,-1
2,1,-8,-6,3,11,11,0
3,2,-14,2,-4,-24,3,1
-2,0,1,0,1,9,-10,-5
0,-2,13,20,7,-18,-18,-3
3,9,-4,-6,-7,-6,0,1
-5,-8,-3,6,1,8,-5,-5
-3,-4,-6,-5,-4,-28,-7,5
-3,-9,-12,-14,-4,16,51,2
-2,1,6,-3,0,-15,-31,-6
0,-2,4,10,1,1,13,1
1,7,-4,-4,3,-5,-30,-2
1,2,3,3,3,-8,-11,0
-2,-1,-5,-2,-2,-4,12,0
0,1,0,-9,3,17,-1,3
-2,0,3,19,1,4,20,-1
0,-1,8,-4,4,-6,-14,0
0,-2,-14,-3,-8,-1,-4,0
1,4,18,2,0,15,3,-2
-8,-10,-21,-9,3,-13,10,-3
1,7,-8,-4,1,57,33,5
3,-5,9,8,-7,-60,-49,1
0,5,0,0,-3,-9,-9,0
-2,-3,-1,-2,-5,-5,3,-4
3,5,10,3,-3,-9,-11,-2
0,-2,-19,-17,1,14,20,-1
-4,-7,12,22,0,7,6,3
1,12,17,7,-3,-31,-33,-5
-4,-3,-8,-10,2,31,16,-3
-2,2,5,-1,-1,6,11,0
3,-5,-15,-15,3,-6,8,1
2,-3,-6,-4,2,15,8,4
-3,-5,-1,4,-4,-21,-14,-3
-1,-3,5,7,-2,-4,2,-5
-1,5,3,7,-1,-5,-5,-5
1,-4,-1,-4,3,53,17,0
-2,-6,-12,-9,-3,-33,-7,6
-1,3,-4,-7,5,7,3,-5
1,-1,12,-1,-7,-13,-71,-3
0,3,-3,13,-3,-3,17,1
-1,-3,-6,-12,-1,-5,-22,-6
-1,1,18,5,-1,10,34,5
0,1,-33,6,2,2,12,-2
-3,2,-3,-10,-4,-9,-16,-4
0,8,5,23,3,-3,-1,1
0,-3,4,-7,1,-10,0,2
-1,-2,-8,-17,-4,29,51,0
1,1,-6,-7,-3,-5,-14,2
0,-16,-6,-18,0,-9,15,-4
-1,5,3,22,-3,-10,-25,-6
0,-7,7,-5,1,3,-5,1
1,3,-8,-3,0,-8,17,0
4,10,11,3,1,-5,-9,0
-3,-2,-3,-10,0,12,8,1
-4,-1,4,2,0,5,11,-3
2,-4,6,-6,9,8,-3,5
-4,-4,-15,6,-1,4,14,-2
-1,0,8,15,6,-6,-23,0
1,0,-21,0,6,21,23,5
0,2,1,-11,-4,-14,-13,-3
0,1,9,-1,-1,-2,-17,-2
5,8,-1,-2,0,-3,17,1
-2,0,13,-19,-7,-6,-5,1
-6,-24,-7,21,-5,2,16,-5
0,5,7,-11,1,9,25,4
-1,-1,-3,-1,-1,-13,-25,-6
-1,1,7,2,10,5,-30,-1
2,3,-10,-7,-2,12,16,5
-3,-2,5,3,-6,-29,-50,-6
-2,-8,-16,-2,6,24,29,2
1,3,4,4,-1,-10,-11,-1
