emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
-22,-52,-6,-2,9,17,5,-15
14,-11,-7,5,-2,-11,-13,2
-12,-44,12,-4,-7,9,-1,7
4,40,-17,-2,-1,-3,20,20
3,9,-4,2,0,-12,-6,-3
-24,-46,-3,5,-3,-1,2,-22
-4,14,-9,-16,3,14,7,4
13,37,17,10,3,7,-14,-12
32,10,12,7,-3,-3,-17,-1
24,-18,-16,4,-2,-20,-9,9
24,49,-1,-9,-2,8,-2,0
-32,-33,-5,-4,-1,-3,4,3
-43,-66,-20,-29,7,50,58,8
41,68,40,29,0,-34,-65,-23
-9,-26,-8,4,-4,-1,8,8
-18,-40,-5,-3,2,5,7,2
-2,-30,-9,-13,-2,8,9,7
-8,-43,-5,0,14,6,34,7
-53,-19,6,-4,-18,-15,-28,-4
81,59,17,12,7,5,1,-1
-65,16,-4,1,2,-1,14,-12
15,-15,-8,5,1,-9,15,15
-14,24,3,12,0,-10,-4,-11
-31,-54,-8,-16,-2,0,7,11
8,-7,19,4,-2,-13,-31,-16
8,47,-28,-10,-9,1,1,-8
-37,-59,-14,-17,7,25,13,9
-5,24,24,38,-8,-59,-33,10
11,1,3,10,-1,-8,-6,-2
-35,-62,2,-12,-1,12,5,-11
27,23,0,-3,1,6,-4,5
-64,-65,-7,-5,4,19,3,-25
25,25,5,13,1,-37,-8,4
-6,31,5,-5,-8,39,-7,4
-17,-10,2,9,1,-13,-11,-6
4,-17,-4,-13,-5,8,11,2
-18,-23,-10,-2,2,-7,-10,-11
23,24,-9,-4,-5,-10,14,6
38,15,4,7,5,18,-12,3
0,30,2,0,-4,1,6,-11
-3,11,-6,-16,5,26,13,12
10,24,11,5,-6,-10,0,-5
-11,-38,-6,9,-2,-13,-4,-1
24,37,0,-15,-1,5,6,-10
-22,-27,13,6,-3,13,8,23
-24,-5,-24,2,2,-15,-8,-6
-11,-12,4,0,0,4,6,-4
-12,-16,-1,-3,1,-2,-3,-1
-1,-4,-3,-10,5,-7,14,5
32,-15,11,5,-2,20,-2,0
52,46,-10,4,-8,-13,-11,7
-26,-48,-13,-15,10,28,42,8
50,46,5,17,-4,-12,-36,0
-59,-31,6,-13,2,14,15,8
17,8,3,3,-4,-12,-14,-9
-26,-19,0,4,5,0,1,3
8,15,-10,-18,-8,10,1,1
-5,-15,1,0,4,-9,-7,-17
18,14,8,7,-1,-2,1,18
-12,-22,-8,3,0,0,-5,9
-11,21,1,-6,-4,-15,-4,-14
-72,-74,-9,-8,-4,-21,-7,-23
113,127,16,11,4,-7,-19,31
-12,-4,13,11,-7,-16,-17,-8
8,-50,-17,-9,0,8,8,-2
-21,20,-1,-9,0,-3,3,13
-39,-27,10,-7,6,17,10,-11
31,7,-15,-3,-5,-10,-7,3
4,21,22,17,-5,-23,-29,-11
0,-35,-1,-2,10,21,26,9
-22,-16,-12,-15,7,4,20,-11
-7,68,7,11,-6,-12,-25,-16
4,-81,-22,-10,8,11,43,19
65,90,15,14,-17,-17,-52,15
-24,-55,-1,6,-4,-9,-2,-12
-37,-12,0,-8,-4,17,-11,-1
-7,21,-7,-14,6,20,16,-6
24,-2,7,2,4,-8,8,5
1,-10,-9,6,-3,17,3,-3
17,16,-5,-11,0,-25,-9,-10
6,42,22,15,-3,-24,-30,-4
-17,-54,-12,-7,2,19,22,-3
-11,54,13,8,-7,-20,-13,-14
-17,-47,-12,-4,-1,-5,10,8
-3,-24,10,0,-2,22,-7,3
-44,-42,12,3,0,-6,-4,-22
19,42,-7,-4,0,-7,-9,9
-5,31,6,1,-3,-12,-1,-10
-8,-35,-2,3,0,-12,-2,-11
-15,21,2,-18,10,34,12,15
-3,-74,4,6,-4,-44,-6,-12
9,61,9,17,-11,-12,-36,-5
-5,-19,-12,-8,5,9,17,2
40,38,1,-6,-5,12,10,13
-7,-2,5,-2,-2,-10,-12,-9
7,-24,-2,-4,3,20,3,2
-38,-19,-14,-2,0,-6,0,-14
18,-14,-2,-1,-1,-25,-5,4
-39,-43,-13,5,-4,20,7,-8
27,21,9,0,-7,-20,-39,-1
-40,-24,3,3,-1,-4,-7,1
21,2,1,2,-4,-7,6,5
-52,-80,-19,-5,0,8,7,-3
-30,5,-1,-6,7,7,19,20
99,87,8,4,-8,-27,-24,-4
-10,9,8,20,-5,-17,-22,1
-6,-16,-8,-16,1,1,7,8
0,-15,10,-4,5,34,14,1
-49,-51,-10,-4,1,7,4,-2
-14,-29,-23,-2,2,-8,32,2
52,69,19,7,-11,-21,-66,1
-19,-16,-7,4,5,-7,2,-16
-10,-1,5,-3,0,8,8,5
-30,-24,-7,-9,0,14,6,-9
-25,-35,-6,-6,5,-4,12,-5
83,74,6,14,-8,-6,-2,17
-29,-15,-5,-6,-4,-5,-19,-3
20,1,2,-5,4,-7,-9,-1
-26,-1,-3,5,-2,-6,-14,-17
-28,-60,-3,-10,3,9,18,4
-13,46,-7,2,3,1,1,-11
27,61,21,23,-5,-27,-33,-6
1,-1,-17,-17,3,33,35,11
5,-72,-11,-7,0,-6,6,-5
-22,66,14,4,-1,5,2,6
-11,-24,1,-2,4,12,2,-1
13,27,2,0,6,-1,11,-2
-11,-1,-3,6,-8,-18,-17,-9
-7,-25,-3,-12,-3,-6,7,-8
38,53,0,-2,3,1,1,8
-2,16,5,3,-3,-20,-3,12
-28,-46,-11,-10,5,34,23,2
37,20,3,8,1,-7,-9,8
-18,8,-1,-6,-5,15,9,-11
29,-12,9,6,2,0,6,-3
-21,17,-1,4,-1,-1,7,-10
13,-8,8,5,-3,-6,-16,-3
-14,-1,-4,3,-6,-7,-13,-3
-55,-26,6,-14,10,56,33,12
89,29,-8,6,-2,-21,-13,3
-40,-15,7,12,-1,-10,-4,-6
-47,-49,-12,-12,1,-6,-5,-14
3,4,4,2,8,25,8,-5
-25,49,16,7,-10,-48,-22,10
-22,-29,-5,2,0,9,6,-12
17,-11,-7,-7,-2,-26,6,7
-12,1,2,-4,-4,4,-29,-7
-26,-32,-4,0,4,2,-9,-10
7,7,3,4,-3,-19,-4,-3
-22,-2,-5,-10,-2,12,6,-10
-9,-31,-2,10,-2,-30,-21,0
-3,49,5,3,-5,-2,-8,-17
8,-37,-7,-7,2,11,-3,1
36,33,12,4,7,21,24,28
27,49,8,4,-3,-15,-1,3
-22,-48,-22,-11,-2,8,-4,5
-10,23,-3,-17,5,25,15,-4
6,-12,13,10,-2,-12,-8,7
17,-14,-9,6,-1,-23,-3,-2
-17,-11,8,-7,-2,-9,3,-1
8,-58,-13,-1,3,17,0,-1
-1,20,0,-3,2,-6,-11,-2
-10,-24,-1,-1,-6,-10,12,-1
6,13,5,2,3,-24,-17,20
-8,-36,-7,4,-10,7,6,-8
-23,-8,3,-5,4,5,-7,10
47,15,-3,-4,-2,-3,-1,-3
-5,4,-2,-3,1,8,13,-12
31,58,10,11,-5,-31,-16,26
-26,-37,-12,-4,-1,11,7,-3
-45,-69,-15,-11,2,24,7,-4
13,93,24,1,-1,3,-2,-9
22,-29,-9,1,-2,-18,4,7
-4,5,0,12,0,-11,-19,-5
-22,-26,-7,-7,-4,-8,7,-3
-26,-14,-3,-4,3,3,0,-1
-1,1,-3,1,0,-1,-1,5
-14,4,6,2,-4,-11,-14,-9
30,7,9,4,-1,12,18,9
-26,-11,-4,2,-2,-11,-10,-2
-20,-8,-9,-12,-1,10,-5,-5
29,25,5,3,-4,-19,-12,4
-7,28,9,3,0,19,-8,1
-9,-33,-12,-1,-2,4,-10,-8
-36,-26,0,2,-1,-9,3,-12
-8,-20,-7,-7,5,10,10,0
41,69,12,3,-5,-24,-9,-3
-32,-50,0,2,-2,2,4,-8
1,11,-5,-3,1,13,10,-8
21,56,2,-3,0,12,-4,-7
10,21,0,5,-5,-34,-12,9
13,-32,-7,-2,-3,4,0,-3
-5,32,3,-8,2,-1,0,2
-19,-37,-6,-11,0,36,15,-7
9,19,4,11,-4,-22,-20,-15
28,2,-2,4,0,4,9,9
-21,-25,-4,-9,-4,-3,-5,7
37,25,-3,4,-1,-18,1,2
-37,46,2,7,-3,-5,-8,-3
13,-30,-4,-13,4,31,26,20
-23,-22,7,7,-2,-13,-7,-8
-5,-28,-1,-4,1,-5,16,1
19,-54,-10,-10,5,32,-10,35
21,61,5,5,-4,-7,4,-6
5,18,2,3,1,0,-5,3
-3,-4,-1,0,0,12,13,10
-18,-25,-17,-11,2,1,6,-9
7,16,14,0,7,9,5,-2
-25,-36,-12,11,3,-1,3,-9
5,-7,-5,-1,-5,-13,-12,10
-16,27,4,2,-7,-14,-14,-25
29,10,-1,-9,3,8,5,4
20,8,0,5,-6,-8,7,13
-29,0,-3,-3,2,10,1,-9
11,-15,5,4,3,3,3,7
-6,5,-2,-3,-1,0,-4,-1
14,6,1,-12,-1,-20,6,-6
13,-7,2,8,0,38,-12,10
-26,17,6,-8,3,4,-5,-18
33,10,-6,8,-6,-21,-2,14
-19,27,12,17,-2,-18,-17,-12
-18,-30,-9,-4,-6,-11,-4,-9
-8,-13,3,-9,6,7,8,-4
-29,-21,5,0,5,5,-9,-6
3,-9,4,-3,2,9,-1,10
27,28,-14,-2,-2,-5,4,-1
-6,8,3,0,-1,5,5,-6
-8,-52,-11,-10,1,5,8,10
-4,71,26,6,3,-3,-9,-5
-1,26,-3,9,-4,-14,-17,-12
-48,-60,-7,3,-4,-19,-12,-16
-6,6,-6,4,-4,-3,-12,-1
-3,-34,-3,-13,3,25,11,-5
-26,-35,-6,-5,5,7,10,-5
47,30,-4,1,-6,9,11,6
20,13,1,6,-6,-11,-14,-15
3,14,1,1,3,3,4,4
-22,-29,3,5,-1,-14,-8,-4
6,26,-4,-5,-4,-1,10,9
-45,-55,-3,-10,7,26,24,3
11,-72,-9,-12,-8,-4,-3,-7
60,97,23,35,-13,-46,-44,0
-98,-73,-3,5,2,5,1,-20
-8,8,-1,-2,0,-11,-5,-5
-40,-43,-12,-6,-1,4,0,-2
15,-64,-17,-24,7,22,26,6
40,54,11,12,-3,-19,-21,7
-25,-17,3,6,-4,-5,-8,-2
10,15,4,1,-1,4,3,3
6,-11,-1,-10,-3,2,3,-2
10,10,-1,6,-1,-13,-7,1
-11,-56,-11,-6,0,-5,7,2
-19,72,1,-15,12,45,36,14
35,30,1,7,-1,-6,-35,-31
46,87,20,29,-12,-31,-25,38
-50,-24,-12,-15,4,15,19,-4
14,-23,-8,-2,-3,-5,-5,3
-62,-50,1,-11,1,1,13,-4
-27,-7,-6,-13,7,20,9,-26
76,69,13,7,-6,-22,-36,22
-4,10,-5,14,-3,-15,-12,-14
-11,12,5,-5,1,2,11,7
22,-25,-6,-10,1,2,7,3
-23,-15,-1,-6,1,13,12,-4
-10,-5,8,6,-1,-10,-13,-16
95,94,22,16,-9,-23,-13,23
-17,-22,-12,-9,0,3,8,-3
-5,-4,0,0,-2,5,0,-12
-5,-24,1,-5,1,-13,-5,2
-59,-59,-7,-9,0,-4,0,-8
-3,-22,-6,-6,1,-17,-3,0
59,76,21,17,-9,-20,-20,-2
38,-4,-10,-1,1,7,15,28
-31,-20,-13,-5,-1,7,12,-1
-25,-31,-4,0,-1,7,4,-7
-28,22,0,-6,11,2,4,-5
28,22,2,-3,-2,-15,-26,-25
-20,-22,8,18,-6,-18,-10,-6
3,-48,-2,-1,-2,11,1,-3
-20,-10,-15,-2,-3,-4,4,-3
-1,11,0,6,-1,0,-9,-1
-33,-60,-16,-13,5,-1,11,8
3,-18,6,-8,5,16,-1,-26
54,60,21,7,-2,-17,-17,0
-19,-8,8,19,-10,-27,-26,-19
1,-15,-17,-17,4,18,19,9
-3,-6,-4,-5,1,1,7,10
-23,-50,-6,0,2,5,2,-9
9,6,7,-7,-3,5,5,0
19,17,4,0,2,-7,-3,9
-16,1,3,3,-3,-4,-4,1
0,-16,-2,4,-1,-7,5,3
2,2,-4,-1,-3,13,-1,3
-20,8,1,0,2,-19,-18,-20
0,-2,0,0,-6,-3,7,17
0,-9,-1,-7,6,0,3,0
15,-23,-1,5,-6,-3,4,12
-25,13,7,2,-2,-2,-7,-18
17,50,-3,-7,5,-14,0,-6
23,22,-3,11,-8,2,-11,15
-59,-26,-4,-2,-3,-9,-19,-23
21,4,8,-2,3,15,1,12
9,16,-3,-2,3,7,1,1
-66,-85,-5,-5,-7,-11,0,-11
7,34,-1,-5,3,6,-6,-2
12,6,3,6,2,18,16,6
-3,-17,0,-1,2,-10,-10,1
-15,-6,-10,-3,-1,10,0,3
6,-52,-7,-1,3,-9,21,8
-6,23,12,6,3,-11,9,2
-5,11,-3,2,3,21,-12,-10
22,44,7,2,0,-2,1,-1
-21,-23,-4,-10,1,-6,7,-4
-21,-54,-14,-3,-1,15,15,8
-22,-24,8,12,-6,-32,-24,-14
-5,17,-2,-9,-1,16,12,12
-2,-45,-3,0,0,7,-25,-3
1,21,9,8,-3,-14,-20,-8
-23,-45,-15,-11,1,14,19,7
47,58,4,-7,1,-14,18,-2
6,-49,-4,4,0,20,-11,5
-24,-34,-6,3,-9,-20,-14,10
5,50,11,-7,1,5,5,-12
-15,-12,1,14,-1,-21,-13,-2
-48,32,0,-3,-4,2,12,-3
33,-8,-6,-6,7,-2,5,-2
-19,-57,-16,-3,-16,-23,-29,-8
-40,-7,17,-6,4,46,29,-17
46,127,18,9,-6,-31,-30,6
-83,-22,-21,9,-13,-6,7,-25
-41,-59,-5,-4,4,-4,5,-1
-5,-63,-9,-2,0,-1,5,-2
11,-18,1,-7,-2,9,7,0
14,34,16,3,0,1,-6,12
5,-13,-1,6,1,3,10,5
32,18,-6,-7,-1,-3,-13,-9
-8,8,-2,-2,2,5,13,7
21,-4,0,-2,5,-3,-8,-2
9,-32,-4,-1,1,-5,10,11
7,32,6,-5,-9,29,-5,-4
-3,-59,-4,-2,1,-2,-36,-6
54,62,5,3,6,6,13,7
19,45,2,5,-5,-11,-9,-9
-46,-52,-7,3,2,-8,11,9
24,4,1,-1,2,-2,22,23
-8,-39,5,-8,-1,21,1,-23
-19,7,-3,-1,4,-1,-4,1
14,26,1,8,-1,-25,-23,-1
2,9,-1,-5,5,19,27,-2
-40,-30,2,-3,-6,-14,-17,-12
37,18,19,7,1,-5,-6,-2
-34,-11,3,5,-4,-26,-13,-2
1,-21,-13,-6,0,0,6,-5
6,-6,9,-9,3,41,20,23
-50,38,3,3,1,8,-26,-30
69,27,-1,4,-2,-18,-13,2
-26,-10,1,9,-2,-10,1,-9
-14,-28,-11,-3,-1,-11,1,-4
-11,-33,-1,-10,-1,4,-4,4
19,26,2,-6,-2,4,1,5
-2,-9,2,2,-5,-10,-7,2
19,16,1,-4,-4,0,0,-6
0,-26,-4,-4,7,23,15,25
-12,23,-5,2,0,-12,0,-20
-27,0,6,9,-4,-2,-11,-1
8,6,3,5,-1,-15,-14,-7
15,7,3,5,0,8,8,5
-27,-23,1,-8,1,-3,10,6
7,-38,-4,-8,0,15,-3,3
-32,33,-6,-10,3,-5,8,0
51,15,-2,3,-7,-13,4,11
7,17,1,20,9,27,9,16
-4,33,11,-12,-6,-33,-9,-19
-16,-32,-10,-3,18,20,16,-10
37,46,15,-4,-10,-25,-32,-10
-22,-56,-10,-1,-1,9,-16,3
-5,29,-2,6,2,-2,4,-8
4,-21,1,6,-7,-17,-4,-15
17,13,-6,0,-2,-7,-7,1
14,-20,-3,-5,8,7,7,1
1,-35,-7,0,-1,5,4,-24
-24,59,0,-24,2,-4,5,3
28,44,18,28,-4,-18,-8,57
-40,-23,-4,-3,-5,6,-5,-3
40,-11,-8,-15,3,24,22,10
-6,-33,2,7,-3,-6,-2,19
-2,-32,-6,-13,4,10,11,-14
8,12,-2,-3,-3,-20,-14,-9
4,13,0,-7,4,13,14,12
38,41,7,6,-3,0,-19,9
-8,-15,0,8,-1,-1,5,-12
-56,-42,-5,-3,-2,-8,-1,-9
-2,-46,-5,-7,-3,13,17,-5
-11,34,-3,7,12,-22,3,2
36,64,11,-4,-19,4,-23,-13
1,-27,-3,-5,2,7,18,-1
1,2,-4,8,0,-2,-1,3
-44,-75,-8,-4,-4,0,7,-2
31,86,5,-8,6,15,7,4
9,-36,-4,7,-1,-8,-16,16
45,76,3,5,-5,-13,-1,8
40,-34,-11,-11,-4,35,18,14
-56,-42,-7,-5,6,10,11,-24
7,30,8,-3,-10,-25,-15,-10
-29,-33,-5,8,6,9,-1,17
16,-23,-8,-4,-1,13,7,3
-3,8,2,4,-7,-29,-17,-15
11,3,-2,1,2,-17,-1,12
2,-3,0,-2,5,22,29,14
-45,-59,1,3,-6,-21,-25,-9
-4,50,7,2,-4,7,-8,5
-2,5,-2,-2,-3,10,27,1
-1,-9,-1,-8,-3,-65,2,2
-37,-38,1,5,4,58,-19,-14
-29,-68,-7,-14,14,23,27,1
49,67,-1,14,-14,-40,-40,-5
-57,-21,1,13,-11,-21,-23,-18
-8,3,2,0,-4,-13,11,1
-30,-67,-14,-11,2,6,16,9
-8,-7,1,-15,5,24,6,-23
10,21,6,7,1,9,-11,-2
0,14,3,9,-5,-27,-24,-14
20,9,-9,-3,-4,1,13,-6
-27,-28,6,-1,-3,-23,-3,-3
34,-7,-4,-3,4,66,5,5
-11,-18,6,-4,-1,-6,-10,-4
34,42,12,11,-4,-34,-21,-7
-14,-58,-5,-2,-1,4,-8,0
5,7,-7,-7,0,-4,0,3
32,-12,-7,2,0,-7,-1,7
-55,-46,-16,-10,-1,3,11,-8
99,63,13,-1,5,6,-13,20
-41,40,6,-2,-2,-26,-21,-1
-42,-15,-6,-3,-10,-26,1,-11
23,-36,-2,0,7,-23,-1,-1
14,43,11,14,-19,11,-27,-14
-2,-31,4,-6,2,-11,-17,-1
29,12,3,-1,6,38,39,16
-36,25,-3,-11,-2,6,13,4
-54,-64,-19,-10,8,-1,24,-15
43,25,12,2,-1,5,8,1
11,127,16,7,-5,-16,-21,-2
-25,-68,-6,3,3,12,1,-3
-16,-7,7,1,1,5,-12,-2
-15,-39,-13,-7,1,17,22,8
-1,43,9,-10,2,-22,-12,0
59,10,-8,14,-4,5,-16,21
44,64,-3,0,1,6,12,23
-70,-98,-11,-5,-2,-11,4,-18
-1,25,6,-11,-5,-9,-7,0
27,18,9,10,3,-18,-28,-1
-18,-43,0,-5,4,14,30,1
-1,5,-3,-3,2,18,-6,-12
56,7,1,10,3,6,14,22
23,38,2,-6,-1,12,3,9
-14,-65,-9,-6,-2,5,17,0
-39,-24,4,3,5,-17,-12,-15
-9,8,5,2,-2,-2,-34,-23
-22,-65,-14,-10,3,6,-2,25
1,51,11,4,-5,-6,-17,-38
-12,10,9,19,-5,-44,-26,8
8,-48,-12,-8,0,6,20,8
-19,-9,0,-3,0,3,11,-5
-28,-8,1,-4,2,2,-14,-8
7,14,3,4,-2,2,-2,7
-20,-30,-12,-8,0,16,18,-15
27,44,-3,2,-13,-33,-26,-2
-16,-53,2,5,2,0,8,4
36,63,5,0,-2,-6,-3,1
-23,-36,-3,0,-1,-2,-2,-2
-38,-21,-9,-6,3,7,16,-13
5,3,1,-2,0,9,11,-4
11,2,-1,5,-3,4,-34,10
-24,-24,3,2,-1,4,11,4
-11,-34,-5,-1,-3,3,4,3
1,30,0,-5,-1,-11,0,-1
-5,-17,1,-2,3,-11,-14,-16
-8,-8,-9,1,-7,-12,-8,-7
4,47,8,-5,2,3,9,-2
35,-5,10,14,-5,-25,-2,13
66,17,-3,1,0,8,1,12
0,-11,-2,-3,4,12,5,1
-38,-48,0,-2,2,16,7,-12
-48,-32,-14,-14,3,12,28,-1
75,109,17,3,-2,3,-43,-15
-1,54,13,20,-5,-27,-5,11
-38,-22,0,3,1,1,7,-4
-45,-47,-12,-11,2,13,-3,3
25,-55,-27,-12,4,10,38,10
-41,-14,8,0,-1,-11,-26,-7
69,60,7,3,-3,-13,-10,0
-17,7,15,8,-3,-16,-16,8
-69,-45,1,0,-5,-4,5,-22
-7,-28,-12,-2,-4,-7,-7,0
-33,-54,4,-2,3,13,16,-7
-22,-27,-26,-13,0,26,27,10
86,81,20,4,-4,-14,-34,9
53,9,10,18,-7,-21,-21,-16
-50,-37,-17,-9,2,7,12,13
-44,-8,4,-5,0,-5,-14,-30
-31,-75,-13,-3,-5,-15,20,11
29,24,0,-14,5,13,5,1
30,4,8,17,-5,7,-11,-8
20,49,15,12,-2,-35,-44,-11
-41,-13,-11,-12,1,6,16,-7
1,-8,-2,-8,0,4,8,-5
-15,-71,-4,1,1,-18,-2,5
-40,-18,-5,-7,-4,21,20,-3
37,47,-2,-24,10,-23,26,28
72,68,21,38,-12,7,-38,39
-69,-21,-1,5,2,-7,16,-11
57,-4,-8,-7,2,6,7,10
-59,-42,-4,-4,-1,-4,8,-14
-9,-66,-1,-9,1,-5,6,-2
16,32,-6,-3,-4,1,-8,7
14,31,-7,0,-1,-2,-9,-4
-4,26,1,5,1,20,13,-5
7,-15,-4,0,0,-8,-4,1
-17,30,-4,0,-3,7,-10,-12
-51,-37,3,3,-1,-10,-9,-7
-48,-33,-3,5,0,-18,-10,-6
-36,-31,-14,-19,4,32,27,-10
-9,59,18,14,-6,-50,2,-7
-2,-14,-7,0,11,68,20,25
-5,24,7,3,-6,17,9,1
-41,-71,-13,-13,8,18,13,-19
14,-2,7,-1,0,-12,-8,-12
23,18,7,2,7,-20,2,21
-13,6,-1,-6,-5,0,-1,1
41,27,-3,-2,-2,-15,11,-10
-29,-26,-4,6,-2,1,-3,-9
68,17,-5,-10,3,8,14,16
34,31,15,15,4,-2,-7,18
-7,17,-8,-1,-7,-19,-2,-1
-19,-31,2,-19,0,7,-12,-46
-41,39,18,-3,5,-2,9,44
76,21,-12,22,-17,-23,-26,-16
-54,8,9,-6,3,18,2,4
32,-40,0,0,2,3,0,3
-50,-33,0,-5,-7,-42,-28,-17
-29,-44,6,-1,5,46,11,-11
33,29,0,3,4,-18,1,21
-7,-7,-11,-14,-6,-22,-15,-5
-48,-33,0,-1,-3,-10,-6,-9
96,108,10,1,0,-13,-13,24
-109,-5,2,20,-9,-11,-27,-17
-40,-44,-6,-6,6,19,12,11
52,39,-5,-4,1,-5,2,-7
-78,-75,-4,-9,2,4,3,-23
67,19,13,14,-3,-3,-12,35
-2,25,0,3,1,11,13,46
30,35,-2,5,-8,6,2,-8
-86,-61,-10,-11,0,7,-6,-7
9,-42,3,-13,1,-10,3,-17
-65,-48,-42,-22,6,30,18,5
43,21,14,23,-6,-29,-6,7
-72,18,10,27,-4,-16,-30,-23
-10,-35,-7,-8,5,17,17,-9
10,-22,5,5,-4,-13,2,-4
-20,-52,-7,-13,0,13,6,-29
36,-9,-3,-9,-11,21,5,7
-27,2,-5,-3,11,-23,-3,-18
54,64,9,-8,-3,-23,-28,-3
9,8,-2,10,2,9,-7,-4
4,-3,7,-1,-2,0,18,6
-83,-57,-16,-17,1,21,9,-10
120,95,27,32,-6,-18,-10,44
-67,-51,-2,2,-3,-9,-14,-46
31,20,1,0,7,-16,-16,8
-25,6,3,5,-5,7,-5,-1
9,-22,-1,-3,2,12,6,-15
2,5,-6,-1,-7,4,1,16
-125,-128,-29,-30,11,22,35,-33
127,127,22,0,-3,-52,-51,-9
-36,92,19,47,-23,-68,-53,18
-48,-65,-17,-11,3,5,17,-12
-20,-46,-6,-9,1,3,5,1
-36,-57,-8,-18,2,10,16,2
-2,-20,-4,-9,8,20,4,-3
4,58,3,-7,-7,-35,1,-20
78,45,22,16,-3,13,-32,-8
-7,24,-7,14,-12,0,9,20
-36,-68,-4,-13,2,37,14,-13
-62,-12,-7,-13,4,10,15,1
61,0,-6,-7,6,-12,20,17
-3,48,25,27,-3,3,-20,28
-31,-40,-3,2,-3,-8,10,-19
-10,-6,-5,-7,2,13,0,8
-19,-16,-5,-4,-3,-10,-5,-15
-29,-96,-17,-15,2,8,5,-15
-7,12,14,2,20,44,18,3
98,80,18,25,-22,-41,-56,-14
-87,-21,0,2,-1,-12,21,-8
-13,-21,-5,-3,0,5,16,-4
-35,-36,-10,-25,5,25,22,-3
