emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
-52,-92,14,30,-12,-41,-32,-24
38,20,-8,-20,12,55,59,24
-41,-15,3,-16,4,-10,-6,-7
-58,-93,-5,20,-15,-9,-13,-13
65,100,-1,-23,16,41,26,29
90,80,17,8,-10,-15,-19,6
-50,-78,-9,21,-9,-33,-27,-28
-11,-35,12,4,0,8,14,21
2,1,-25,-33,13,39,42,18
-58,-60,-21,0,-7,-26,-29,-27
-5,23,14,15,-5,-1,-9,0
18,32,-16,-14,4,13,19,0
6,18,7,2,-7,-20,-25,-19
-40,-41,11,15,-2,-25,-24,-11
10,53,-17,-18,6,39,45,16
-19,-30,0,-8,6,-15,-11,-29
-13,80,33,33,-5,-44,-60,-10
11,-6,-5,2,-1,3,-4,17
-10,2,-4,-10,-2,7,5,-6
-26,-45,-10,-6,3,3,-9,-6
17,9,-2,9,-7,-16,-2,3
-17,-45,-3,-12,6,21,22,10
-11,1,4,-14,4,15,0,8
73,127,3,16,-14,-42,-26,9
-24,-22,0,-13,0,-6,-18,-10
-62,-103,16,28,-11,-44,-50,-32
31,33,-15,-21,5,32,36,16
11,35,0,-11,4,8,4,6
-26,5,14,28,-10,-48,-47,-35
26,-8,-18,-2,2,7,21,21
-18,-22,-8,-19,7,14,14,15
-48,-38,-3,-6,2,3,-2,-26
90,20,14,10,1,17,8,40
58,90,2,-11,9,30,30,29
-37,1,6,7,-2,-14,-18,-15
-33,-65,-26,11,-6,-24,-13,-9
-17,-24,-21,-28,11,53,55,23
34,35,6,-39,2,38,42,15
22,62,16,48,-17,-63,-70,-46
-2,11,3,-4,-4,13,10,17
-25,-21,-2,-12,5,12,15,-8
-43,-82,-15,1,0,-11,-18,-10
-17,-29,12,-2,-7,1,4,-19
-18,-2,2,-9,6,21,8,5
-2,14,-1,18,-10,-40,-29,-7
-9,-11,-16,1,-6,-8,-11,-17
0,-6,1,-11,5,11,9,15
1,-8,3,5,-3,-12,-13,-1
-20,-45,-14,-9,0,6,8,-2
1,61,16,5,2,-11,-8,-6
12,53,2,2,2,-4,4,9
56,17,7,10,-2,5,5,8
-24,-22,3,-3,5,18,16,10
3,7,-8,-7,0,7,3,4
-20,-80,-9,-6,1,-4,0,1
-27,46,1,-19,15,38,24,-10
67,86,13,21,-16,-36,-21,26
17,75,13,16,5,11,12,18
-22,-46,-3,-4,2,16,15,3
7,-20,-15,-10,3,3,-1,-10
0,6,-8,-15,0,8,6,-17
8,-10,-4,-4,-2,-11,-11,-2
30,19,5,5,0,8,7,2
5,15,11,3,-5,-13,-11,11
-20,-24,-3,1,3,-8,-9,-15
-25,-61,0,0,-1,-1,-3,-16
31,26,3,-11,4,12,17,46
-30,28,1,11,-11,-30,-20,-20
11,-17,-11,-2,2,-6,6,2
-10,51,13,6,-9,-11,-24,-28
-4,-48,-27,-13,4,13,6,-8
28,-10,15,9,-6,-27,-14,9
-5,-51,-15,-4,0,8,5,6
-25,6,19,-3,2,2,0,-16
-58,-8,7,8,3,-1,6,2
58,48,5,9,-7,2,-9,-10
-37,-17,-9,-9,5,18,0,-13
8,-25,-5,-1,3,-7,-8,5
-3,-6,-2,1,-3,1,-1,-2
-6,-12,-9,-9,6,27,19,11
29,17,11,3,2,2,0,17
-21,-23,1,3,-7,-6,-21,-4
8,10,6,6,-2,-31,-26,-29
25,-7,1,-3,0,-5,9,10
-47,-19,-6,1,-5,-9,-14,-24
-4,-1,0,4,-1,-6,7,8
-10,16,-2,-14,-1,29,26,-1
-9,-36,-1,6,-3,-16,-52,-7
49,127,22,21,-10,-42,-24,-14
-38,-44,-18,-12,8,28,24,11
-28,-33,-7,-5,1,-7,-2,-18
-24,-75,-1,0,6,-8,-6,-12
13,48,19,3,-8,15,1,31
3,51,-2,-12,-6,-5,-13,-3
3,-29,5,9,3,-33,-10,6
-13,4,-6,-4,-3,-6,14,2
