emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
6,1,0,-2,-1,-4,22,-1
-3,0,-3,-3,-4,-22,-6,-1
24,21,21,18,17,-27,-105,12
-32,-24,-28,-19,-15,5,25,-34
1,1,-1,0,3,15,-109,9
2,1,1,1,-3,-7,-69,10
41,35,37,34,33,-48,-128,31
-31,-24,-24,-22,-19,15,87,-65
-22,-10,-12,-15,-17,-79,-16,-20
2,1,-1,6,6,-4,-51,0
11,2,6,8,10,25,-5,25
55,38,47,38,24,-47,-128,51
-62,-39,-45,-34,-29,-34,124,-64
4,8,0,-4,2,-6,-41,2
-15,-15,-7,1,-14,12,-38,-13
9,12,11,7,5,-5,-69,8
19,9,17,7,11,44,-8,9
0,-3,-4,1,0,9,49,6
35,23,22,16,17,44,-43,53
-50,-31,-38,-32,-31,-53,85,-14
30,15,15,11,12,17,-128,62
-8,-10,-6,-7,-3,17,-43,-7
-1,1,-2,1,-2,-14,-22,-3
12,7,13,15,11,31,15,12
-4,-2,-2,-2,0,-9,-51,-11
-6,-1,-5,-2,-1,-13,25,-10
34,19,21,11,9,-53,-106,42
-20,-15,-14,-11,8,95,97,-43
-26,-10,-22,-29,-23,-84,-19,-17
1,1,5,16,1,27,-18,-3
9,6,5,5,4,-8,-29,5
5,1,4,-1,-5,8,8,13
-1,0,-3,-3,4,27,-42,-4
3,2,1,-3,1,-34,27,3
-11,-6,-8,-9,-7,10,25,-16
22,22,25,25,20,-33,-6,23
-21,-38,-30,-30,-42,89,74,-19
-19,-7,-13,-12,-3,-29,-100,-1
-1,4,3,8,6,-2,-107,8
0,-1,-3,-11,-6,-13,-40,-3
30,20,25,34,23,-17,-18,37
3,-1,5,0,0,19,24,-2
-20,-12,-13,-18,-14,16,79,-28
14,10,15,19,13,-33,-58,13
13,1,3,-4,-8,18,-57,52
-48,-24,-23,-17,-16,-32,-59,-89
-4,-1,-7,-1,7,20,-2,-11
0,-3,3,-1,-8,-3,-62,1
13,13,6,7,12,-30,-45,14
13,8,9,9,7,20,32,12
-3,-7,-7,-7,-10,-7,20,2
-6,0,-2,-1,-2,4,5,-4
-4,1,1,5,11,4,58,-21
42,27,27,18,14,-33,-96,50
-20,-22,-21,-12,4,100,123,8
-31,-20,-24,-20,-22,-40,-19,-16
8,8,9,11,12,24,-15,17
11,10,8,4,-1,-40,-85,-3
11,6,10,5,-8,-71,73,19
-7,-7,-10,-13,-20,-22,-36,-11
-13,-3,-3,5,6,28,-2,-17
7,3,5,5,8,8,0,21
0,3,0,-3,1,-1,-35,-7
1,-2,-1,2,-3,8,-43,-5
4,11,10,4,0,-58,82,0
-8,-15,-9,-14,-15,43,-33,-23
-37,-19,-21,-11,-21,-33,58,-33
4,5,0,-4,4,-16,-96,13
7,3,6,3,3,20,-75,-1
4,4,0,6,14,31,8,19
12,12,13,8,-4,-6,-121,21
-3,-14,-8,-5,-1,68,127,-26
5,2,3,2,14,4,-64,6
-20,-9,-9,-7,-12,-13,-66,-10
9,7,6,12,10,-18,-4,-17
22,5,9,7,10,48,68,27
-3,8,8,6,8,-52,-101,-5
-32,-29,-34,-33,-22,111,127,-16
13,6,7,4,5,47,-60,7
-4,6,4,5,1,-37,-92,4
-12,-4,-8,-4,0,6,9,-16
22,6,8,11,5,-39,22,14
34,26,28,25,24,-5,-4,37
-78,-65,-67,-66,-79,-25,56,-71
-9,-5,-8,-4,-1,5,-75,-3
19,11,14,17,9,-8,-74,23
-16,-7,-6,-7,-2,-4,-86,-7
30,25,22,22,25,16,-14,28
7,-3,2,0,-9,8,75,-4
-19,-12,-22,-29,-13,-28,37,-16
-1,0,3,16,4,4,-31,2
29,22,23,17,23,-22,32,39
-30,-37,-31,-31,-39,44,24,-39
-3,7,3,2,2,-3,90,45
2,-2,-2,-9,-2,-15,-98,-7
0,2,1,5,9,17,-6,3
6,2,3,3,-3,-10,76,8
4,3,6,5,5,-4,-44,-8
-11,-13,-12,-11,-11,1,13,-19
3,8,11,11,10,-21,-50,9
18,20,18,16,16,-14,-80,3
13,-12,-5,-8,8,70,-43,57
-44,-15,-30,-30,-24,-68,-17,-52
16,10,14,26,18,-2,-128,30
0,1,5,-2,0,-9,-20,1
14,10,11,11,6,-1,-27,-3
7,-1,3,2,4,27,8,12
-11,-8,-13,-15,-9,-3,49,-18
5,6,5,5,5,-1,6,9
21,25,27,34,17,-63,-66,-1
-41,-43,-36,-39,-23,66,122,-23
-15,-2,-13,-5,-2,-6,-59,-17
3,3,9,8,7,11,-50,5
5,9,5,3,-1,-48,33,2
-7,-6,-1,-2,6,71,-38,-24
4,4,-1,1,2,-7,69,8
-9,-6,-12,-12,-3,2,-2,-6
-4,-6,-2,0,-2,12,3,-9
23,14,17,16,11,-25,-26,21
6,2,5,3,5,8,23,17
37,20,14,8,9,-14,31,51
-50,-29,-35,-19,-23,11,69,-53
7,7,5,3,4,8,-48,29
-1,-1,3,-2,-5,-19,-84,-4
16,9,9,9,8,-6,12,27
11,6,8,2,6,8,-84,-2
1,-8,-7,-6,-27,-10,97,16
-2,0,-8,-9,7,-43,58,9
-11,-6,-8,-4,0,-4,-66,-18
11,3,11,13,-7,-24,-55,18
-15,0,2,0,5,20,42,-39
11,6,7,7,6,38,-3,25
-22,-16,-19,-20,-12,-9,81,-18
8,7,4,-1,9,-13,-93,-1
17,4,3,4,3,2,17,25
-6,-2,0,-3,-9,-25,-53,-8
-12,-6,-5,0,1,38,-24,-17
