emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
73,2,-111,-27,26,102,6,2
17,38,70,-14,-4,-23,31,3
6,-2,39,1,-5,-20,9,1
-31,-2,105,34,1,-39,-11,8
11,-3,-36,7,-2,23,-26,-35
43,-13,-37,-14,0,33,-1,13
38,23,11,1,7,25,8,7
21,-1,-13,-4,8,10,4,1
-56,-2,50,3,-47,-124,2,1
13,-2,-21,28,95,106,60,16
-21,-1,-18,-6,14,-100,-42,-9
4,-3,2,-7,-19,-59,7,13
-25,5,39,18,-44,-128,-21,-13
-16,-53,-90,-29,41,40,-27,-30
-4,56,102,-3,0,32,55,91
5,-9,-7,-8,10,2,7,-44
-24,8,88,18,-2,-42,-22,11
-11,8,122,51,-28,-119,-33,-18
-95,-89,-128,-60,8,118,-27,-24
100,95,80,-35,-28,-6,24,-12
-5,-4,55,3,9,34,36,25
-23,-3,27,18,-7,5,-26,-7
-1,19,32,4,40,110,13,33
-11,-6,-15,-14,-23,-81,19,-9
2,3,-6,2,-25,8,5,-3
1,4,-11,7,-10,-109,-43,1
-6,-11,-33,7,66,47,11,-33
9,-2,-21,-13,-45,-29,24,46
-2,6,0,7,34,20,5,-13
0,2,76,7,-25,-54,-12,-7
-37,-15,-88,3,-15,-40,-10,-22
71,37,2,-8,34,78,5,4
-23,5,39,-8,-22,-27,7,37
-3,-14,-5,6,11,65,14,0
4,-15,1,7,-18,-66,-19,-1
-12,-4,-10,-9,-20,-32,-18,-19
13,4,-14,11,50,98,35,11
7,9,-5,-5,-2,-9,-7,-10
-6,0,16,3,-24,-32,-5,16
-28,-21,-26,-5,-23,-96,-15,-27
16,13,13,8,31,96,23,-17
-14,-9,-28,-8,6,-3,-9,-3
18,-1,-10,-14,-12,3,62,0
-11,3,28,11,14,2,-22,-5
10,1,19,5,-21,-97,-18,7
-1,-7,-12,9,-8,-44,-11,-19
-12,-19,-84,-27,32,61,6,5
16,23,24,0,6,22,19,18
-7,-3,10,-4,-11,-51,5,-8
-34,-17,3,-6,-13,-15,1,-6
28,18,47,19,-9,-38,-18,3
-43,-27,-40,-18,12,75,-23,-17
33,2,-32,0,-9,-21,6,-18
8,7,5,-2,9,35,27,34
12,8,51,20,1,-16,-7,-7
-3,-7,-33,-5,-7,-62,-17,5
-17,-11,-55,-19,25,60,-8,-31
1,14,28,-1,3,43,37,33
12,-5,-9,-9,-31,-93,-14,7
2,9,38,15,-5,-10,6,2
-13,-12,31,-10,-63,-128,-56,24
9,4,-46,31,103,126,55,-32
-5,12,7,-35,-44,-88,3,21
29,9,16,8,-2,-49,4,-1
-51,-4,63,10,-5,-38,4,-14
1,-17,-30,-1,-18,-14,-23,3
2,10,10,11,-1,20,-3,8
27,-12,-100,-25,13,74,16,-11
-52,-11,-5,-25,-21,-15,-15,-18
21,11,28,1,-12,-18,2,-3
-8,16,93,27,-6,2,-13,-17
-20,-26,-60,1,25,11,-4,9
44,26,18,-5,4,12,-17,-25
-73,-13,-1,-12,-4,-54,5,3
-11,-4,13,-1,-17,6,-16,-25
10,1,23,21,30,-27,-1,8
5,-10,-29,-2,-30,-91,-14,24
-7,0,8,-4,31,86,2,-32
8,-4,-33,-12,-39,-18,-20,-10
-15,10,13,5,4,1,31,6
34,11,6,8,20,13,-10,12
-2,-28,-71,-20,-25,-44,-5,19
16,-3,30,4,10,9,1,6
27,9,16,-13,-10,34,6,5
7,-9,-74,-8,5,8,6,0
62,26,35,-6,-20,-22,6,1
-58,-10,-14,4,27,41,11,8
-12,-4,52,13,-23,-51,-23,2
16,12,76,22,-7,4,-2,11
3,-31,-108,-31,43,23,-17,-5
-14,14,22,-14,-19,-59,26,18
1,6,37,7,-7,-20,14,-4
-14,-10,-10,-3,-23,-48,-20,-4
10,12,22,13,-21,-38,4,8
